title,domestic_revenue,distributor,opening_theaters,MPAA,release_days,action,animation,comedy,drama,horror,thriller
Guardians of the Galaxy,4.5568450298595815,3,3.350441856535061,1,1.4471580313422192,1,0,0,0,0,0
Coco,6.787362410664305,1,2.7902851640332416,2,1.8129133566428555,0,1,0,0,0,0
Pirates of the Caribbean,6.93392950645918,3,3.539201599294128,3,2.2121876044039577,0,0,0,0,1,0
X-Men,6.840252675484607,3,3.5771469848275252,2,1.4771212547196624,1,0,0,0,0,0
The Matrix,6.826972798420014,2,3.222456336679247,2,2.0453229787866576,0,0,0,1,0,0
Forrest Gump,6.835887385920891,3,3.3418300569205104,0,1.845098040014257,0,0,0,0,0,1
Jaws,6.2967285750829385,0,3.4761067168401913,3,0.9542425094393249,0,0,0,0,0,1
Interstellar,5.745126341464599,2,2.012837224705172,3,1.2787536009528289,0,0,0,1,0,0
Deadpool,5.395598943099524,0,3.5812668052736707,1,1.568201724066995,0,0,1,0,0,0
Mad Max,5.4123278027191155,1,3.5499836111596887,1,1.7481880270062005,1,0,0,0,0,0
The Hunger Games,5.468732706519751,4,3.220108088040055,3,1.9294189257142926,0,0,1,0,0,0
The Avengers,6.835511871688733,2,3.400537989391946,4,2.110589710299249,0,0,0,1,0,0
Titanic,6.970391419354063,4,2.7209857441537393,0,1.5440680443502757,0,0,1,0,0,0
Jurassic Park,6.551434870598252,0,3.4350476413399647,0,2.2013971243204513,0,1,0,0,0,0
Avatar,4.4908149793838605,1,3.527887565952705,0,0.9030899869919435,0,0,0,0,0,1
The Lion King,5.7278534464440325,1,3.534660575828444,3,2.184691430817599,0,0,1,0,0,0
Star Wars,5.471103867421969,0,2.7558748556724915,1,1.462397997898956,0,0,0,0,0,1
Frozen,5.996681941749126,3,3.433609843323718,1,1.255272505103306,0,0,0,1,0,0
Inception,6.922264716245362,4,3.531478917042255,3,2.225309281725863,0,0,0,0,0,1
The Dark Knight,6.9190536037558426,1,3.497067936398505,3,1.568201724066995,1,0,0,0,0,0
Harry Potter,5.733821365642537,1,3.0322157032979815,0,1.792391689498254,0,0,0,1,0,0
Toy Story,6.820647417100871,0,3.521530341278711,1,2.103803720955957,0,1,0,0,0,0
Finding Nemo,6.9251426216961685,0,2.9822712330395684,4,2.1398790864012365,1,0,0,0,0,0
Black Panther,5.939713892728912,2,3.514414920580369,1,0.7781512503836436,0,1,0,0,0,0
The Godfather,6.682110403663167,4,3.4143046881283317,1,2.1398790864012365,0,0,0,0,0,1
Spider-Man,6.86027803984128,3,2.958085848521085,3,2.0043213737826426,0,0,1,0,0,0
Shrek,5.997312976309373,0,3.326335860928751,1,1.1760912590556813,1,0,0,0,0,0
Iron Man,6.7970178363134215,3,2.714329759745233,2,1.724275869600789,0,0,0,1,0,0
Captain America,6.949359165761947,1,3.4119562379304016,3,0.47712125471966244,0,0,0,0,0,1
Batman Begins,4.645854383653742,3,3.0224283711854865,1,1.6901960800285136,0,0,0,0,1,0
Wonder Woman,4.972175057459714,4,3.123524980942732,4,2.1986570869544226,0,0,0,0,1,0
Guardians of the Galaxy,6.449134838992115,2,2.8312296938670634,3,2.0718820073061255,0,0,0,0,1,0
Coco,6.915001716618888,2,2.7752462597402365,0,1.792391689498254,1,0,0,0,0,0
Pirates of the Caribbean,6.829482150800535,2,3.375114684692225,4,2.0086001717619175,0,0,0,0,0,1
X-Men,6.2884381540069665,4,2.6020599913279625,2,1.8129133566428555,0,0,0,0,0,1
The Matrix,6.318062290984387,3,3.387033701282363,2,0.7781512503836436,0,0,0,0,1,0
Forrest Gump,5.64585045727778,3,3.4255342204982635,3,2.214843848047698,0,1,0,0,0,0
Jaws,4.1673468775856355,3,3.406028944963615,4,2.167317334748176,0,0,1,0,0,0
Interstellar,6.9508491731221005,4,2.7589118923979736,2,2.0253058652647704,0,0,1,0,0,0
Deadpool,6.408906333357517,3,3.6337713460825554,3,2.2528530309798933,0,0,0,0,0,1
Mad Max,6.915527730087501,4,3.459241664878082,1,1.0791812460476249,0,1,0,0,0,0
The Hunger Games,6.1830348339137275,1,3.3820170425748683,3,1.0413926851582251,1,0,0,0,0,0
The Avengers,6.770731643865345,0,3.2782962080912736,0,1.9590413923210936,0,0,1,0,0,0
Titanic,5.741181549162607,3,3.28397928423848,2,2.2068258760318495,1,0,0,0,0,0
Jurassic Park,6.360792908446754,1,2.7558748556724915,0,0.47712125471966244,0,0,0,1,0,0
Avatar,6.475409080066643,4,3.2314695904306814,1,2.1367205671564067,0,0,0,0,0,1
The Lion King,5.27874445781486,0,3.5961570809161723,1,2.2430380486862944,0,0,1,0,0,0
Star Wars,5.695272359158332,1,3.3370597263205246,1,1.724275869600789,0,0,0,1,0,0
Frozen,3.897956810006952,0,3.4649364291217326,3,2.220108088040055,0,1,0,0,0,0
Inception,5.2159387953443925,4,1.7481880270062005,0,1.6232492903979006,0,0,0,1,0,0
The Dark Knight,6.572091959663567,4,3.646599751720373,3,1.1139433523068367,0,1,0,0,0,0
Harry Potter,5.694157513347289,1,3.094471128641645,0,2.146128035678238,1,0,0,0,0,0
Toy Story,6.905340684711513,3,3.2111205412580492,4,1.8976270912904414,0,0,0,0,1,0
Finding Nemo,6.664202382501863,4,3.100370545117563,3,2.2329961103921536,0,1,0,0,0,0
Black Panther,4.860511689629458,0,3.635483746814912,0,1.9030899869919435,0,0,0,0,1,0
The Godfather,6.646897149429954,4,1.9395192526186185,2,2.089905111439398,0,0,0,0,1,0
Spider-Man,5.918413060574885,0,3.397070549959409,4,1.9395192526186185,0,0,0,0,0,1
Shrek,6.9228467010683215,4,3.1658376246901283,3,1.9493900066449128,0,1,0,0,0,0
Iron Man,5.023968146763306,4,3.1261314072619846,4,2.146128035678238,0,0,1,0,0,0
Captain America,4.701075563144496,3,3.127428777851599,1,1.568201724066995,0,0,0,1,0,0
Batman Begins,6.91342058491048,2,2.716003343634799,1,2.1172712956557644,0,0,1,0,0,0
Wonder Woman,6.988542592496917,4,3.6484575942825224,4,1.7781512503836436,0,0,0,0,1,0
Guardians of the Galaxy,6.79929904822022,3,3.52022143588196,2,2.1492191126553797,0,0,0,0,1,0
Coco,5.406461830048541,3,3.4068806700491248,4,2.0492180226701815,0,0,0,0,1,0
Pirates of the Caribbean,6.666045896807914,1,3.3604040547299387,4,1.6127838567197355,0,0,0,1,0,0
X-Men,4.733325688107994,3,2.5888317255942073,3,1.5185139398778875,0,1,0,0,0,0
The Matrix,5.783194414852787,1,3.558708570533166,1,2.225309281725863,0,0,0,0,1,0
Forrest Gump,6.641193910107525,3,3.4795753101749884,1,2.0253058652647704,0,0,0,0,0,1
Jaws,6.94686857543837,1,3.555698894718901,0,1.568201724066995,0,0,0,0,0,1
Interstellar,5.622319733338954,0,3.5595475555804343,1,1.505149978319906,0,0,0,0,1,0
Deadpool,6.980340807783421,4,3.4396484295634737,4,1.5797835966168101,0,0,0,0,0,1
Mad Max,6.738736255017505,3,3.4038066105474227,1,2.0791812460476247,0,0,0,0,0,1
The Hunger Games,6.947083154785266,3,3.3434085938038574,0,2.214843848047698,0,0,0,0,0,1
The Avengers,4.448072189065087,1,3.3634239329171765,4,1.8920946026904804,0,0,0,1,0,0
Titanic,6.928911219831407,4,3.438384107034714,0,1.2041199826559248,0,0,0,0,1,0
Jurassic Park,6.187109074087866,4,3.443106456737266,4,2.0,0,0,0,1,0,0
Avatar,6.583026042365549,2,3.619719265611727,1,1.6812412373755872,0,0,0,0,1,0
The Lion King,6.679083595421728,1,3.344785122632661,4,1.9444826721501687,0,0,0,0,0,1
Star Wars,6.967319677625852,0,3.5478977175630972,3,2.1398790864012365,0,0,1,0,0,0
Frozen,6.745091116373566,4,3.1922886125681202,4,2.2278867046136734,0,1,0,0,0,0
Inception,6.39945530814776,4,3.3184807251745174,3,2.146128035678238,0,0,0,0,0,1
The Dark Knight,6.8683216241327845,1,3.6489451821656727,0,1.8260748027008264,0,0,0,1,0,0
Harry Potter,5.307202843676337,2,3.6416723732246865,4,1.863322860120456,0,0,1,0,0,0
Toy Story,5.547046991114659,2,3.3386556655787003,1,1.7160033436347992,1,0,0,0,0,0
Finding Nemo,6.922885603739481,0,3.3344537511509307,1,2.0827853703164503,0,0,1,0,0,0
Black Panther,6.605893800219748,1,3.3653007486379876,1,1.7558748556724915,0,0,1,0,0,0
The Godfather,4.3869446243705745,0,3.5170638734826545,3,2.2329961103921536,0,0,1,0,0,0
Spider-Man,6.980916975019051,3,3.58983794314746,3,1.4913616938342726,0,0,0,1,0,0
Shrek,5.087781417809542,4,3.5413295776666938,3,2.2095150145426308,0,0,0,0,1,0
Iron Man,5.886637345309819,0,3.6103407114521566,4,2.2355284469075487,0,0,0,1,0,0
Captain America,6.292551999810591,0,3.4756711883244296,1,2.0755469613925306,0,1,0,0,0,0
Batman Begins,3.877889425371484,0,2.8048206787211623,4,2.103803720955957,0,0,1,0,0,0
Wonder Woman,4.962407222303728,4,3.4566696294237578,2,2.2405492482826,0,0,0,0,0,1
Guardians of the Galaxy,6.929284069115441,2,3.3562171342197353,2,2.0043213737826426,0,0,0,1,0,0
Coco,6.65186120546413,4,1.9030899869919435,2,2.012837224705172,0,0,0,0,0,1
Pirates of the Caribbean,6.701650001119825,2,3.2065560440990297,2,2.0211892990699383,0,0,0,1,0,0
X-Men,5.801481231181083,2,3.0572856444182146,3,2.2068258760318495,1,0,0,0,0,0
The Matrix,5.919147678567321,4,2.4424797690644486,0,2.2278867046136734,0,1,0,0,0,0
Forrest Gump,4.494432898726399,1,2.290034611362518,1,1.919078092376074,0,0,0,1,0,0
Jaws,6.956124662531819,0,3.4875625602563782,1,2.2121876044039577,0,1,0,0,0,0
Interstellar,4.844352896310894,1,3.631849462159818,3,2.187520720836463,0,0,1,0,0,0
Deadpool,6.991004839376037,4,2.506505032404872,4,2.0293837776852097,0,0,0,0,1,0
Mad Max,6.747374048263181,4,2.5276299008713385,3,2.2380461031287955,0,0,1,0,0,0
The Hunger Games,6.360631275426735,2,3.2895889525425965,3,1.9444826721501687,0,0,1,0,0,0
The Avengers,5.9992132147320945,1,3.5491259267581112,2,1.845098040014257,0,0,0,0,0,1
Titanic,5.44289661707986,3,3.4940153747571436,4,1.9084850188786497,0,0,1,0,0,0
Jurassic Park,4.458214677865592,0,2.9854264740830017,0,2.225309281725863,0,0,0,0,1,0
Avatar,5.070872388158187,2,3.3098430047160705,0,1.7708520116421442,0,0,0,1,0,0
The Lion King,6.890742289036808,4,2.2600713879850747,2,1.8325089127062364,0,0,0,0,0,1
Star Wars,5.794583539119887,3,3.425697213362591,2,2.1702617153949575,0,0,1,0,0,0
Frozen,6.846152528687465,0,3.3092041796704077,3,2.1367205671564067,0,0,0,0,1,0
Inception,6.778469182307355,2,3.426673888021373,4,1.4913616938342726,0,0,0,1,0,0
The Dark Knight,6.615547432888291,0,2.401400540781544,3,2.113943352306837,1,0,0,0,0,0
Harry Potter,6.914871976041657,4,3.2247919564926817,2,2.1702617153949575,0,0,1,0,0,0
Toy Story,5.863305012035277,2,3.2571984261393445,2,1.919078092376074,0,0,0,1,0,0
Finding Nemo,5.764330089028326,4,3.4192947217534604,2,1.7781512503836436,0,0,0,0,0,1
Black Panther,4.8328919447597904,2,3.490379920003179,0,2.1931245983544616,0,0,0,0,1,0
The Godfather,5.544038263136149,1,3.5431985856376467,4,1.8195439355418688,0,1,0,0,0,0
Spider-Man,6.806810193514037,0,3.28397928423848,3,1.0791812460476249,0,0,0,1,0,0
Shrek,6.918392779435198,3,1.6232492903979006,4,1.5563025007672873,0,1,0,0,0,0
Iron Man,6.5687778969662824,3,3.17666993266815,1,2.012837224705172,0,0,0,1,0,0
Captain America,6.375957737424365,3,3.2706788361447066,1,1.7853298350107671,1,0,0,0,0,0
Batman Begins,4.991088675092897,2,3.3763944420372662,2,1.8573324964312685,0,0,0,1,0,0
Wonder Woman,6.174933335347738,2,3.551693915127225,3,2.1903316981702914,0,0,0,0,0,1
Guardians of the Galaxy,6.710333442697028,1,3.4653828514484184,0,2.1903316981702914,0,1,0,0,0,0
Coco,6.121871911974219,4,3.4316853446860116,0,2.0644579892269186,0,0,1,0,0,0
Pirates of the Caribbean,6.247326495924845,3,2.146128035678238,3,1.99563519459755,0,0,1,0,0,0
X-Men,6.808460063583622,4,3.5424519473759766,4,1.4913616938342726,0,0,0,1,0,0
The Matrix,6.928438869862575,3,3.348694190265541,2,1.8976270912904414,1,0,0,0,0,0
Forrest Gump,5.8016259460568005,3,3.147985320683805,1,2.0293837776852097,0,0,0,0,0,1
Jaws,6.904535570540207,1,3.401745082237063,4,2.130333768495006,0,0,0,0,1,0
Interstellar,4.74591756692192,4,3.530199698203082,2,2.0492180226701815,0,1,0,0,0,0
Deadpool,6.155274988985076,2,3.4291060083326967,4,2.12057393120585,1,0,0,0,0,0
Mad Max,5.412495827173434,1,3.6281845080734128,4,1.792391689498254,1,0,0,0,0,0
The Hunger Games,6.843205735103241,3,3.2711443179490782,3,2.0718820073061255,0,0,1,0,0,0
The Avengers,6.251479071632523,1,3.218535505216528,3,1.3424226808222062,0,1,0,0,0,0
Titanic,5.117407198616776,2,3.5986810989071634,3,2.0969100130080562,0,0,0,1,0,0
Jurassic Park,3.0542299098633974,0,3.3988077302032647,4,2.0170333392987803,0,1,0,0,0,0
Avatar,5.291020120325625,3,3.519827993775719,0,2.113943352306837,0,0,1,0,0,0
The Lion King,6.885297711129911,4,3.647480773173676,0,2.1818435879447726,0,1,0,0,0,0
Star Wars,6.730669086035719,3,3.3180633349627615,2,2.100370545117563,0,0,0,1,0,0
Frozen,6.930392390711992,4,3.5613399414589013,2,1.8388490907372552,0,0,0,0,1,0
Inception,5.9797481770356535,4,3.037426497940624,0,1.0791812460476249,0,1,0,0,0,0
The Dark Knight,6.867280117437794,2,3.6426623314420357,3,2.041392685158225,0,0,0,0,0,1
Harry Potter,6.8722737204070645,3,1.7558748556724915,0,1.9030899869919435,0,0,0,0,0,1
Toy Story,5.8868008247800185,2,2.9237619608287004,1,1.3424226808222062,0,0,0,1,0,0
Finding Nemo,6.86736953957859,2,3.615739688619155,0,1.6232492903979006,1,0,0,0,0,0
Black Panther,5.654440312510162,4,3.6456187382426952,0,1.8808135922807914,0,0,0,1,0,0
The Godfather,6.968396594754605,0,3.635282637998212,1,1.5563025007672873,1,0,0,0,0,0
Spider-Man,6.449433964654694,4,3.1550322287909704,3,1.1760912590556813,0,0,1,0,0,0
Shrek,6.5807669594909015,2,2.1398790864012365,2,1.792391689498254,0,1,0,0,0,0
Iron Man,6.516592350651805,3,3.3961993470957363,4,1.8692317197309762,1,0,0,0,0,0
Captain America,6.9317112538656245,3,3.266936911159173,4,2.1335389083702174,0,0,0,0,1,0
Batman Begins,6.980054483444831,4,2.677606952720493,1,1.7160033436347992,0,0,0,0,0,1
Wonder Woman,5.87098647569516,1,3.5900612308037427,2,1.6020599913279623,0,0,1,0,0,0
Guardians of the Galaxy,4.9296538920958,0,3.0969100130080562,4,2.089905111439398,1,0,0,0,0,0
Coco,5.073850267873154,4,2.997386384397313,2,2.2041199826559246,0,0,1,0,0,0
Pirates of the Caribbean,6.613353996970413,3,3.570776368794748,0,1.9912260756924949,0,0,0,0,1,0
X-Men,6.995283932074796,0,3.619719265611727,2,1.954242509439325,0,0,1,0,0,0
The Matrix,6.867665026291853,0,3.3502480183341627,3,1.4313637641589874,0,0,0,0,0,1
Forrest Gump,6.428780407979094,4,3.633367445117007,4,2.041392685158225,0,0,0,0,1,0
Jaws,5.996226134757412,2,3.0145205387579237,2,2.1172712956557644,0,0,1,0,0,0
Interstellar,5.622949316824264,2,3.6223176608338443,1,1.5185139398778875,0,0,0,1,0,0
Deadpool,6.707818249178759,1,3.4063698354692673,4,1.146128035678238,1,0,0,0,0,0
Mad Max,5.545985866899166,1,3.2692793897718984,4,2.0253058652647704,0,0,1,0,0,0
The Hunger Games,6.804875268420924,2,3.5293019977879805,0,1.4771212547196624,0,0,0,0,1,0
The Avengers,5.168809686171092,3,3.533772058384718,0,1.8573324964312685,0,0,0,1,0,0
Titanic,6.882330798270149,0,2.5634810853944106,4,1.591064607026499,0,1,0,0,0,0
Jurassic Park,6.945579557320242,2,3.180125875164054,1,2.103803720955957,0,0,0,1,0,0
Avatar,5.60685732315524,3,2.6020599913279625,0,2.2278867046136734,0,0,0,0,1,0
The Lion King,6.499194373762873,2,3.1351326513767748,2,1.414973347970818,0,0,0,1,0,0
Star Wars,6.7971936975648015,1,3.4533183400470375,3,2.089905111439398,1,0,0,0,0,0
Frozen,5.502888483438095,1,3.5417040232842885,0,0.0,0,0,0,0,1,0
Inception,6.821026557449158,3,3.5706596700215343,1,2.037426497940624,0,1,0,0,0,0
The Dark Knight,6.942942641096661,0,3.2626883443016963,0,2.1271047983648077,1,0,0,0,0,0
Harry Potter,6.20619933891157,1,3.4149733479708178,1,2.0644579892269186,0,0,0,1,0,0
Toy Story,6.136637504356529,3,3.3502480183341627,4,2.0253058652647704,0,1,0,0,0,0
Finding Nemo,6.645017066383576,2,3.41077723337721,3,1.9731278535996986,0,0,0,0,0,1
Black Panther,6.615036968904936,3,3.266231696689893,4,2.0211892990699383,1,0,0,0,0,0
The Godfather,6.878894979013341,4,3.3783979009481375,0,2.0569048513364727,1,0,0,0,0,0
Spider-Man,4.710836360863743,3,3.572987708198205,3,1.8976270912904414,0,0,0,0,0,1
Shrek,6.491989845583166,4,3.5429498488141786,0,2.1986570869544226,0,0,0,0,1,0
Iron Man,5.7939146505407315,3,2.1789769472931693,4,2.1986570869544226,0,1,0,0,0,0
Captain America,6.381505138498225,4,3.336259552014193,2,2.110589710299249,0,0,1,0,0,0
Batman Begins,5.605775725703601,2,3.0595634179012676,2,1.9777236052888478,0,1,0,0,0,0
Wonder Woman,6.876666456773957,1,3.5169318088680126,2,2.250420002308894,0,0,1,0,0,0
Guardians of the Galaxy,6.121333610746671,1,2.0086001717619175,3,2.2528530309798933,1,0,0,0,0,0
Coco,5.834014833444012,4,3.615950051656401,1,2.1986570869544226,0,0,0,0,1,0
Pirates of the Caribbean,5.809464765463006,3,2.7634279935629373,4,1.968482948553935,0,1,0,0,0,0
X-Men,6.93091771806843,1,3.0969100130080562,0,1.0413926851582251,1,0,0,0,0,0
The Matrix,5.897983176693439,2,2.9885589568786157,0,2.167317334748176,1,0,0,0,0,0
Forrest Gump,6.801307441029472,3,3.530583859645118,3,1.591064607026499,0,0,1,0,0,0
Jaws,4.925982100327103,0,3.1156105116742996,3,0.3010299956639812,0,0,1,0,0,0
Interstellar,6.334431834811589,1,3.355643050220869,3,1.4471580313422192,0,1,0,0,0,0
Deadpool,6.634269948351748,1,2.8536982117761744,0,2.0530784434834195,1,0,0,0,0,0
Mad Max,5.814412756089168,0,3.636688447953283,1,2.2430380486862944,0,0,1,0,0,0
The Hunger Games,6.471925377184373,0,2.4955443375464483,4,0.9030899869919435,0,0,1,0,0,0
The Avengers,6.268529766264017,2,3.64018319192134,0,1.863322860120456,1,0,0,0,0,0
Titanic,6.504103697911267,3,3.4111144185509046,2,2.089905111439398,0,0,0,0,0,1
Jurassic Park,6.235895422153628,2,3.258397804095509,2,2.2068258760318495,0,1,0,0,0,0
Avatar,5.358165266707255,4,3.6147917919564176,0,2.24551266781415,0,0,0,0,0,1
The Lion King,5.377674079675159,1,3.5456781497920256,3,2.2174839442139063,0,0,0,0,1,0
Star Wars,6.960504501831403,2,3.397070549959409,3,2.0644579892269186,0,0,1,0,0,0
Frozen,5.7608008182871915,4,3.433289685195026,0,1.380211241711606,1,0,0,0,0,0
Inception,6.929919506382681,1,3.4575791469957626,1,0.9030899869919435,1,0,0,0,0,0
The Dark Knight,5.22877494294437,2,3.584670384464349,1,1.3617278360175928,0,0,0,0,0,1
Harry Potter,5.3657350132067965,3,3.4347285417797577,3,2.100370545117563,0,1,0,0,0,0
Toy Story,6.781452052242046,2,3.2380461031287955,4,2.250420002308894,0,1,0,0,0,0
Finding Nemo,4.7610553681762715,3,3.6437486854595256,0,1.8750612633917,0,0,0,0,0,1
Black Panther,4.171111865180439,1,3.274850320016665,4,1.724275869600789,1,0,0,0,0,0
The Godfather,6.669545313314936,4,1.146128035678238,2,2.143014800254095,0,0,1,0,0,0
Spider-Man,3.8205954965444904,2,3.6264430253312945,0,1.414973347970818,0,0,0,0,1,0
Shrek,5.761208929669856,4,3.3881012015705165,2,1.968482948553935,0,0,0,0,0,1
Iron Man,5.757542540501804,2,2.9439888750737717,3,2.2329961103921536,0,0,0,1,0,0
Captain America,5.4517756931250965,4,2.9763499790032735,3,2.2380461031287955,0,0,0,1,0,0
Batman Begins,6.243360051705366,3,3.6027109449575576,0,1.9731278535996986,0,0,0,0,0,1
Wonder Woman,6.283379258982944,1,2.90848501887865,4,2.155336037465062,0,0,0,1,0,0
Guardians of the Galaxy,6.846903305410371,0,3.5871494982543437,3,1.4313637641589874,0,1,0,0,0,0
Coco,4.8291171469607415,3,3.3935752032695876,3,2.0086001717619175,1,0,0,0,0,0
Pirates of the Caribbean,5.291863699655347,0,3.1351326513767748,3,2.0211892990699383,0,0,0,1,0,0
X-Men,5.785020735194763,1,2.8987251815894934,1,1.7075701760979363,0,0,0,1,0,0
The Matrix,6.939888994275221,4,3.353916230920363,0,2.146128035678238,0,0,0,0,0,1
Forrest Gump,6.853662140722535,2,2.9809119377768436,2,1.380211241711606,0,0,0,1,0,0
Jaws,6.97640253141767,2,2.808885867359812,1,1.919078092376074,0,1,0,0,0,0
Interstellar,6.794999418269388,0,2.357934847000454,1,2.2278867046136734,0,0,0,0,1,0
Deadpool,6.777096807235352,4,3.3586960995738107,1,2.03342375548695,0,1,0,0,0,0
Mad Max,5.221038469285992,3,3.5594277997594896,1,1.8573324964312685,0,1,0,0,0,0
The Hunger Games,4.650919185090123,4,3.478999131673357,0,1.5563025007672873,1,0,0,0,0,0
The Avengers,5.671262655527393,0,3.3205616801952367,2,1.9030899869919435,0,1,0,0,0,0
Titanic,6.935441814427527,4,3.1758016328482794,3,1.7403626894942439,0,0,0,1,0,0
Jurassic Park,6.958090679302882,3,3.2352758766870524,2,2.1522883443830563,0,0,1,0,0,0
Avatar,6.878844868525472,1,3.472610197596045,2,1.414973347970818,0,0,0,1,0,0
The Lion King,5.28242270396272,3,3.614158709509175,1,1.3424226808222062,0,1,0,0,0,0
Star Wars,6.941299103160787,4,3.5269850685599957,0,2.113943352306837,0,0,0,0,1,0
Frozen,5.850803630751106,2,2.8543060418010806,2,2.230448921378274,0,0,0,1,0,0
Inception,5.853564983371703,3,2.496929648073215,1,2.12057393120585,0,0,0,0,0,1
The Dark Knight,6.01053019042958,2,2.941511432634403,2,2.146128035678238,1,0,0,0,0,0
Harry Potter,6.516072408592942,4,3.6264430253312945,3,2.1818435879447726,0,0,0,1,0,0
Toy Story,6.612981998092536,2,2.322219294733919,3,1.3222192947339193,0,0,0,0,1,0
Finding Nemo,6.108676627132566,3,3.625415352154408,4,1.9294189257142926,1,0,0,0,0,0
Black Panther,6.009106978608162,2,3.2377949932739227,3,1.845098040014257,0,1,0,0,0,0
The Godfather,6.360935754067193,3,3.494154594018443,2,1.968482948553935,1,0,0,0,0,0
Spider-Man,6.177662585737288,0,3.0538464268522527,3,1.662757831681574,0,0,0,1,0,0
Shrek,5.569915561848722,4,2.781755374652469,4,1.1139433523068367,0,1,0,0,0,0
Iron Man,5.975054796792513,3,3.527372082827612,2,2.0969100130080562,0,0,0,1,0,0
Captain America,6.01306527483386,2,3.5035183127240748,4,2.0293837776852097,0,0,0,0,1,0
Batman Begins,4.947517043534692,0,3.410608542568368,2,2.2095150145426308,0,0,0,1,0,0
Wonder Woman,4.868391663050862,2,3.0770043267933502,3,1.5563025007672873,0,0,0,1,0,0
Guardians of the Galaxy,5.120412685900034,4,3.3203540328176717,1,0.9542425094393249,0,0,0,1,0,0
Coco,5.1943561355270464,1,2.8715729355458786,4,2.100370545117563,0,0,1,0,0,0
Pirates of the Caribbean,6.451505357591086,1,3.552303109338354,3,2.247973266361807,0,0,0,0,1,0
X-Men,6.84487984529757,3,3.3085644135612386,2,2.0644579892269186,0,0,1,0,0,0
The Matrix,6.692239451367816,4,3.4303975913869666,3,2.103803720955957,0,1,0,0,0,0
Forrest Gump,6.586992044988671,1,3.646893624167745,1,1.9867717342662448,0,0,0,1,0,0
Jaws,6.138765172866932,3,1.3222192947339193,3,1.7403626894942439,0,1,0,0,0,0
Interstellar,6.660417962126445,3,3.0273496077747564,4,2.113943352306837,0,0,0,0,1,0
Deadpool,6.794315758610897,4,3.3418300569205104,2,1.724275869600789,0,0,1,0,0,0
Mad Max,5.928132020179097,1,3.3394514413064407,0,1.4913616938342726,0,1,0,0,0,0
The Hunger Games,6.487144034000348,0,3.4759615891924236,1,2.1789769472931693,0,0,0,0,0,1
The Avengers,5.879251325659779,3,3.5520595341878844,3,2.214843848047698,0,0,1,0,0,0
Titanic,5.759722977706789,3,3.6036855496146996,4,1.6720978579357175,0,1,0,0,0,0
Jurassic Park,5.960836420345526,2,3.0824263008607717,2,2.089905111439398,0,0,0,1,0,0
Avatar,4.64423173331632,1,3.153204900084284,0,1.9590413923210936,0,0,1,0,0,0
The Lion King,6.675527496249617,0,3.1142772965615864,0,2.0043213737826426,0,0,0,0,1,0
Star Wars,5.208067637935191,4,3.6447339274471924,1,2.0170333392987803,0,0,0,0,0,1
Frozen,6.9535113627583,4,3.3100557377508912,0,1.8512583487190752,0,0,0,0,1,0
Inception,6.689543616646865,2,2.662757831681574,1,1.7160033436347992,0,0,0,0,0,1
The Dark Knight,5.754256573662172,1,3.356790460351716,4,2.110589710299249,0,0,0,0,0,1
Harry Potter,6.812472557970127,0,3.592398846115564,0,1.7403626894942439,0,0,0,0,0,1
Toy Story,6.799362470431334,1,3.6195107208384987,0,2.184691430817599,0,0,0,1,0,0
